requirement_id,requirement_source,summary,owner,reviewer,mode,status,commit,version,artifact_digest,environment,procedure,evidence_url,evidence_digest,completion_time,issues,exception_id,invalidation_state,invalidated_by,notes
RC-01,specs/1.0.0/01-release-contract.md,Freeze the 1.0 feature scope and identify every deferred feature and known limitation.,shawnji (release),shawnji (product),manual,passed,4537acf8bcf701d9cbef4c366237dbe16bfb512e,1.0.0-rc-candidate,git-tree:9f8513259e426b006ff7fed726fef3b9e2c6428c,"Local working checkout of dev at 4537acf8 on Fedora Linux (kernel 7.1.10-200.fc44.x86_64), CPython 3.14. No artifact, service or browser is involved: each requirement in this bundle is a decision or a register, and its acceptance is a document state.",Read each ADR and release document against its acceptance criterion in specs/1.0.0/01-release-contract.md | approvals recorded in the ADR and document headers | mode column added to all 145 ledger rows and enforced in validate_v1_release_control.py | python3 scripts/validate_v1_release_control.py,specs/1.0.0/evidence/rc-approval-capture-2026-08-28.md,sha256:dee3a0b1cbc05bd1b8bae706f0020b7a1ac15e306746833308e587c29ccfd5e2,2026-08-28T21:28:38Z,,,current,,"Passed. docs/release/1.0.0-support-contract.md is the versioned scope document -- feature scope, deferred surfaces and known limitations -- and it is approved as of 2026-08-28 under ADR-0001, which is now Accepted for 1.0.0. The second acceptance clause, that release changes require explicit scope review, is met by the contract's own standing rule that a row is promoted only when its named acceptance passes, and by ADR-0001's consequence that support expands only through an ADR update plus ACC/AGT evidence: scope cannot be widened by editing the contract alone. This evidences the scope freeze, not the rows inside it -- RC-02 carries the platform rows and stays open on ACC."
RC-02,specs/1.0.0/01-release-contract.md,"Publish supported server OS/distributions, architectures, PostgreSQL/Timescale versions, browsers, agent platforms, and deployment modes.",shawnji (release),shawnji (product),hybrid,in_progress,,1.0.0-rc-candidate,,,,docs/release/1.0.0-support-contract.md,,,,,not_evidenced,,"Approved but unevidenced. The support contract is approved as of 2026-08-28 under ADR-0001 (now Accepted), and it publishes every platform, architecture, browser and deployment-mode row as a 'supported candidate' that is promoted only when its named acceptance passes -- so the second acceptance clause, 'no untested row is called supported', holds. The first clause does not: 'every acceptance job maps to a support-matrix row' needs acceptance jobs, and ACC-01 through ACC-21 are all not_started. scripts/ci/fleet/matrix.yaml is the beginning of that mapping and holds one row (fedora-rpm-amd64, install-and-boot). ADR-0005's in-force clause forbids promoting a platform row on the strength of its tier table before the evidence exists. Blocked on ACC, not on the decision."
RC-03,specs/1.0.0/01-release-contract.md,"Decide and record single-node versus HA, Linux-only boundaries, IPv6 level, internet-exposed versus LAN/VPN operation, multi-tenancy, offline/air-gap behavior, and public API/SDK stability.",shawnji (release),shawnji (product),manual,passed,4537acf8bcf701d9cbef4c366237dbe16bfb512e,1.0.0-rc-candidate,git-tree:9f8513259e426b006ff7fed726fef3b9e2c6428c,"Local working checkout of dev at 4537acf8 on Fedora Linux (kernel 7.1.10-200.fc44.x86_64), CPython 3.14. No artifact, service or browser is involved: each requirement in this bundle is a decision or a register, and its acceptance is a document state.",Read each ADR and release document against its acceptance criterion in specs/1.0.0/01-release-contract.md | approvals recorded in the ADR and document headers | mode column added to all 145 ledger rows and enforced in validate_v1_release_control.py | python3 scripts/validate_v1_release_control.py,specs/1.0.0/evidence/rc-approval-capture-2026-08-28.md,sha256:dee3a0b1cbc05bd1b8bae706f0020b7a1ac15e306746833308e587c29ccfd5e2,2026-08-28T21:28:38Z,,,current,,"Passed. Every decision the requirement enumerates is stated in an Accepted ADR with a Consequences section: single-node versus HA, Linux-only, IPv6 level, LAN/VPN versus internet exposure, offline/air-gap and public API/SDK stability in ADR-0001; multi-tenancy in ADR-0001 and ADR-0003; API stability also in ADR-0002; and the npm channel question RC-03 inherits through EXC-003 in ADR-0004. ADR-0001, ADR-0002 and ADR-0005 were accepted at 4537acf8; ADR-0003 and ADR-0004 were already accepted on 2026-08-11 and 2026-08-19. The evidence bundle maps each enumerated decision to the ADR clause that settles it."
RC-04,specs/1.0.0/01-release-contract.md,"Define API, database, server/agent, and CLI compatibility windows, upgrade order, deprecation policy, and minimum supported source version.",shawnji (release),shawnji (product),hybrid,in_progress,,1.0.0-rc-candidate,,,,docs/release/1.0.0-compatibility-policy.md,,,,,not_evidenced,,"Approved but unevidenced. docs/release/1.0.0-compatibility-policy.md carries every clause the requirement names -- API and client compatibility, database and source-release compatibility including the 0.3.5 minimum supported source version, server/worker/agent/CLI compatibility, upgrade order, downgrade and rollback, and the deprecation stages -- and is approved as of 2026-08-28 under ADR-0002, which is now Accepted. The earlier note's blocker, 'the policy is decided in ADR-0002, which is still Proposed', is closed. What remains is the second acceptance clause: the table must be exercised by ACC-12, which is not_started, so the policy's 'Required examples for verification' section has never run. Blocked on ACC-12, not on the decision."
RC-05,specs/1.0.0/01-release-contract.md,"Define service SLOs and the meaning of liveness, readiness, startup health, and degraded operation.",shawnji (release),shawnji (product),hybrid,in_progress,,1.0.0-rc-candidate,,,,docs/release/1.0.0-service-objectives.md,,,,,not_evidenced,,"Approved but unevidenced. Targets, measurement windows, recovery and retention values and the health-state contract are published and approved as of 2026-08-28 under ADR-0002, and the contract table describes the shipped /livez, /startupz and /readyz split. The second acceptance clause, 'SRV-03 and REL-21 tests produce the named metrics', is unmet and the gap is code rather than a test run: no named metric is emitted anywhere -- /api/v1/metrics exposes inventory and service gauges only, there is no HTTP availability or latency instrumentation, and no REL-21 test exists. The Degraded and 'not ready rejects writes' rows are published as explicitly unimplemented. Blocked on SRV-03 and REL-21."
RC-06,specs/1.0.0/01-release-contract.md,"Define RPO, RTO, backup retention, data-retention defaults, and maximum supported scale.",shawnji (release),shawnji (product),hybrid,in_progress,,1.0.0-rc-candidate,,,,docs/release/1.0.0-service-objectives.md,,,,,not_evidenced,,"Approved but unevidenced. RPO (24 hours for scheduled backups), RTO (4 hours to a clean supported host at the approved medium dataset), local and remote backup retention defaults (7 and 30 snapshots), audit, upload and metrics retention, and the candidate scale ceilings are published in docs/release/1.0.0-service-objectives.md, each naming the ACC or REL row that must evidence it, and all are approved as of 2026-08-28 under ADR-0002. The acceptance clause requires the values to be evidence-based and validated by ACC-09 through ACC-15 and REL-21 through REL-26; every one of those is not_started, so each value stands as an approved candidate rather than a measured promise. Telemetry and check-history retention are explicitly deferred to REL-02 and REL-25. Blocked on ACC and REL evidence."
RC-07,specs/1.0.0/01-release-contract.md,Assign an accountable owner to every acceptance-matrix row and production risk.,shawnji (release),shawnji (product),hybrid,passed,4537acf8bcf701d9cbef4c366237dbe16bfb512e,1.0.0-rc-candidate,git-tree:9f8513259e426b006ff7fed726fef3b9e2c6428c,"Local working checkout of dev at 4537acf8 on Fedora Linux (kernel 7.1.10-200.fc44.x86_64), CPython 3.14. No artifact, service or browser is involved: each requirement in this bundle is a decision or a register, and its acceptance is a document state.",Read each ADR and release document against its acceptance criterion in specs/1.0.0/01-release-contract.md | approvals recorded in the ADR and document headers | mode column added to all 145 ledger rows and enforced in validate_v1_release_control.py | python3 scripts/validate_v1_release_control.py,specs/1.0.0/evidence/rc-approval-capture-2026-08-28.md,sha256:dee3a0b1cbc05bd1b8bae706f0020b7a1ac15e306746833308e587c29ccfd5e2,2026-08-28T21:28:38Z,,EXC-002,current,,"Passed. owner-map.md names an accountable owner and reviewer for all nine requirement prefixes and every one of the 145 ledger rows carries both; the single-codeowner deviation, where owner and reviewer resolve to the same person, is recorded as EXC-002 rather than hidden behind a placeholder second name. The automated/manual mode clause was unmet until 4537acf8 -- the ledger had no such field, so the criterion was being read as satisfied by a column that did not exist. All 145 rows now carry a mode derived from each requirement's acceptance criterion in its owning spec (86 automated, 43 hybrid, 16 manual), documented in the release-control README, and enforced by validate_v1_release_control.py against a fixed enum, verified failing closed on both a blank and an out-of-enum value. Environment, evidence and invalidation_state are schema columns populated on every row that has evidence and empty on rows that have none, which is the correct state for an unevidenced requirement; the validator requires all three on any row claiming passed."
RC-08,specs/1.0.0/01-release-contract.md,"Maintain one risk and exception register. Every exception has owner, rationale, compensating control, expiry, and release approval.",shawnji (release),shawnji (product),hybrid,passed,4537acf8bcf701d9cbef4c366237dbe16bfb512e,1.0.0-rc-candidate,git-tree:9f8513259e426b006ff7fed726fef3b9e2c6428c,"Local working checkout of dev at 4537acf8 on Fedora Linux (kernel 7.1.10-200.fc44.x86_64), CPython 3.14. No artifact, service or browser is involved: each requirement in this bundle is a decision or a register, and its acceptance is a document state.",Read each ADR and release document against its acceptance criterion in specs/1.0.0/01-release-contract.md | approvals recorded in the ADR and document headers | mode column added to all 145 ledger rows and enforced in validate_v1_release_control.py | python3 scripts/validate_v1_release_control.py,specs/1.0.0/evidence/rc-approval-capture-2026-08-28.md,sha256:dee3a0b1cbc05bd1b8bae706f0020b7a1ac15e306746833308e587c29ccfd5e2,2026-08-28T21:28:38Z,,,current,,"Passed. One risk register (risk-register.csv, 11 open risks) and one exception register (exception-register.csv: EXC-001 deferred multi-tenancy, EXC-002 single codeowner, EXC-003 npm out of scope) exist and are the only ones. Each active exception carries owner, reviewer, rationale, compensating control, evidence URL, expiry 2026-11-13 and a named approval, and validate_v1_release_control.py enforces every one of those fields plus expiry -- an expired active exception fails the gate. This evidences the requirement's own clause, that one register pair is maintained and every exception is complete. The wider condition in 01-release-contract.md, that no unexplained skip, xfail, warning, scan suppression or unmet gate survives at sign-off, is a condition on EXEC-09 evaluated when sign-off happens and tracked by RISK-010 through REL-08, REL-19 and SEC-18; this row does not claim it."
SEC-01,specs/1.0.0/02-security-and-trust.md,Decide whether multi-tenancy is a supported 1.0 security boundary.,shawnji (security),shawnji (release),manual,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-02,specs/1.0.0/02-security-and-trust.md,"If supported, tenant context is mandatory after login and established inside the request transaction; pooled connections cannot retain a previous tenant.",shawnji (security),shawnji (release),automated,excepted,,1.0.0-rc-candidate,,sec-2b-not-applicable-decision,ADR-0003-and-tenant-inventory-review,docs/adr/0003-defer-true-multi-tenancy.md,,,,EXC-001,exception,,Multi-tenancy deferred per ADR-0003; recorded as an exception rather than a vacuous pass. See EXC-001.
