risk_id,status,severity,source,requirement_ids,owner,reviewer,summary,mitigation,next_review,notes
RISK-001,open,P0,docs/1.0.0-release-readiness-audit.md,SEC-01;SEC-02;SEC-03;SEC-04;SEC-05,security-owner,release-owner,Tenant isolation is not a 1.0 security boundary by product decision.,SEC-2B must remove or hard-disable unsupported tenant UI/API/context before release.,2026-08-17,"ADR 0003 authorizes SEC-2B; EXC-001 approves the SEC-02/03/04 deferral and expires 2026-11-13. SEC-01 and SEC-05 are covered by no exception. The risk closes when SEC-2B has removed or hard-disabled the unsupported tenant surface and SEC-01/05 are evidenced."
RISK-002,open,P0,docs/1.0.0-release-readiness-audit.md,SEC-06;SEC-07;SEC-08;SEC-09;SEC-10,security-owner,release-owner,Route authorization and bootstrap exposure require adversarial acceptance evidence.,Complete endpoint inventory and auth matrix before sign-off.,2026-08-17,No exception is approved.
RISK-003,open,P0,docs/1.0.0-release-readiness-audit.md,SEC-11;SEC-12;SEC-13;SEC-14;SEC-15;SEC-18,security-owner,release-owner,Security scan and systemic hardening gates are not yet green for RC artifacts.,Run scans against release artifacts and resolve or explicitly except findings.,2026-08-17,No exception is approved.
RISK-004,open,P1,docs/1.0.0-release-readiness-audit.md,ACC-12;ACC-13;ACC-14;ACC-15;RC-06,qa-owner,release-owner,Upgrade backup restore and migration recovery are not yet proven from artifacts.,Run ACC recovery matrix and record immutable evidence.,2026-08-17,No exception is approved.
RISK-005,open,P1,docs/1.0.0-release-readiness-audit.md,AGT-01;AGT-02;AGT-05;AGT-06;AGT-07;AGT-10;AGT-11,agent-owner,release-owner,Agent composed journey remote-site UAT ARM64 and PyInstaller containment remain unproven.,Complete AGT acceptance before agent support can be promoted.,2026-08-17,No exception is approved.
RISK-006,open,P1,specs/1.0.0/04-server-product-contract.md,SRV-02;SRV-03;SRV-04;REL-01;REL-02;REL-10,operations-owner,architecture-owner,Server worker ownership health readiness and shutdown semantics are not yet release-proven.,Implement SRV/REL fault matrix and retain results.,2026-08-17,No exception is approved.
RISK-007,open,P1,specs/1.0.0/06-reliability-quality-capacity.md,REL-05;REL-12;REL-21;REL-22;REL-23;REL-24;REL-25;REL-26,reliability-owner,architecture-owner,Capacity retention and soak objectives are candidate values without evidence.,Run load soak and bounded-growth gates before publishing limits.,2026-08-17,No exception is approved.
RISK-008,open,P2,specs/1.0.0/07-documentation-repository-governance.md,GOV-01;GOV-02;GOV-03;GOV-04;GOV-08,governance-owner,release-owner,Docs media and navigation are not yet validated against RC behavior.,Run docs/media review and link checks before release hygiene sign-off.,2026-08-17,No exception is approved.
RISK-009,open,P2,specs/1.0.0/08-npm-distribution.md,NPM-01;NPM-02;NPM-03;NPM-04;NPM-05;NPM-06;NPM-07;NPM-08;NPM-09;NPM-10;NPM-11;NPM-12;NPM-13;NPM-14;NPM-15,distribution-owner,security-owner,npm distribution is deferred and must not be implied as a 1.0 channel until NPM gates pass.,ADR-0004 decides npm is not a 1.0 channel; keep it off the supported surface and out of installation docs.,2026-08-17,EXC-003 approves the deferral; the risk closes when ADR-0004 is superseded or the NPM slices are completed.
RISK-010,open,P1,specs/1.0.0/06-reliability-quality-capacity.md,REL-08;REL-19;SEC-18,reliability-owner,release-owner,Skips xfails warnings and scanner suppressions are not yet reconciled into exceptions or defects.,Inventory all suppressions and fail unexplained warnings before sign-off.,2026-08-17,No exception is approved.
RISK-011,open,P1,docs/agent.md,AGT-02;AGT-06;AGT-07;AGT-08;AGT-13;ACC-07,agent-owner,release-owner,"The installer systemd unit omits AF_NETLINK, so discovery and probing are dead on every installed agent.","Add AF_NETLINK to the RestrictAddressFamilies line of _INSTALL_SCRIPT_TEMPLATE in apps/backend/src/app/services/agent_install.py:87, then re-run the install command from Agents -> Add agent on already-enrolled hosts, which rewrites their unit file; until a fixed installer ships, the systemctl edit cb-agent drop-in documented in docs/agent.md restores netlink per host.",2026-08-19,"Verified in the working tree on 2026-08-19. apps/backend/src/app/services/agent_install.py writes /etc/systemd/system/cb-agent.service at line 70 of _INSTALL_SCRIPT_TEMPLATE, and line 87 sets RestrictAddressFamilies=AF_UNIX AF_INET AF_INET6; apps/agent/internal/collect/discover/neigh_linux.go:44 opens a unix.AF_NETLINK/NETLINK_ROUTE socket for the RTM_GETNEIGH dump, and Go net.Interfaces() on Linux is implemented over the same socket with no /sys fallback. Under the unit the daemon can therefore neither dump the neighbour cache nor enumerate its own interfaces, the derived direct_private scope arrives empty on the first capability.readiness frame, and every discovery target and probe destination is refused empty_scope before a packet is sent; MAC-based host linkage falls back to hostname. Telemetry, enrollment, the link, the spool and self-update are unaffected. The defect is invisible to the agent e2e suite, which runs the binary in a container with no systemd sandbox, and to cb-agent enroll, which runs from the operator shell. Disclosure gap: docs/agent.md - a page in the published nav at mkdocs.yml:34 - is the only place this defect is recorded. It appears in no known-bugs list, no exception, no gap-audit entry and no other ledger note, so the user manual disclosed it before release control did. No test pins the unit template, so the fix is one line, but whether 1.0.0 ships with the defect or with the fix is an owner decision; the alternative to fixing is an approved exception plus the per-host drop-in as the compensating control. The risk closes when the unit template grants AF_NETLINK and an installed agent is shown reporting discovery.neighbor: ready, or when an exception records the decision to ship as-is."
